Date,Plantation,Lag1_Milho_Price,Milho_Price,Exchange_Rate
1/1/2012,0.0,258.65,272.84,1.785035
2/1/2012,0.0,272.84,279.46,1.7168
3/1/2012,0.0,279.46,280.69,1.7953
4/1/2012,0.0,280.69,274.0,1.8522476190476191
5/1/2012,0.0,274.0,269.28,1.9810227272727277
6/1/2012,0.0,269.28,267.31,2.048195238095238
7/1/2012,0.0,267.31,333.05,2.029552380952381
8/1/2012,0.0,333.05,331.99,2.0279434782608696
9/1/2012,0.0,331.99,320.85,2.026857894736842
10/1/2012,1397.6891181487601,320.85,321.24,2.0297318181818182
11/1/2012,596.5813477465567,321.24,321.64,2.06622
12/1/2012,22.729534104683125,321.64,308.65,2.07746
1/1/2013,0.0,308.65,303.13,2.028109523809524
2/1/2013,0.0,303.13,302.74,1.9729315789473685
3/1/2013,0.0,302.74,309.04,1.9842142857142857
4/1/2013,0.0,309.04,279.91,2.001109090909091
5/1/2013,0.0,279.91,295.54,2.0364727272727277
6/1/2013,0.0,295.54,298.41,2.17336
7/1/2013,0.0,298.41,279.51,2.2518318181818184
8/1/2013,0.0,279.51,238.74,2.340790909090909
9/1/2013,14.334153495290034,238.74,207.41,2.264105
10/1/2013,1095.9219162452484,207.41,201.73,2.1882227272727275
11/1/2013,985.8536744339779,201.73,199.13,2.295936842105263
12/1/2013,23.890255825483564,199.13,197.39,2.347095238095238
1/1/2014,0.0,197.39,198.06,2.3857809523809523
2/1/2014,0.0,198.06,209.32,2.3792
3/1/2014,0.0,209.32,222.33,2.3250523809523806
4/1/2014,0.0,222.33,222.36,2.2324727272727274
5/1/2014,0.0,222.36,217.3,2.219509523809524
6/1/2014,0.0,217.3,202.39,2.236019047619048
7/1/2014,0.0,202.39,182.73,2.2242136363636362
8/1/2014,0.0,182.73,176.42,2.268519047619048
9/1/2014,35.640279221698115,176.42,163.06,2.3378809523809525
10/1/2014,1752.9111168867926,163.06,163.12,2.449531818181818
11/1/2014,511.94860389150926,163.12,178.74,2.5527277777777777
12/1/2014,0.0,178.74,178.73,2.6418857142857144
1/1/2015,0.0,178.73,174.71,2.63462
2/1/2015,0.0,174.71,173.7,2.8169894736842105
3/1/2015,0.0,173.7,174.23,3.1413727272727274
4/1/2015,0.0,174.23,172.05,3.0420909090909087
5/1/2015,0.0,172.05,166.29,3.056205
6/1/2015,0.0,166.29,166.72,3.1116909090909086
7/1/2015,0.0,166.72,179.6,3.228809090909091
8/1/2015,0.0,179.6,162.59,3.515433333333333
9/1/2015,80.76983113636365,162.59,165.62,3.903219047619048
10/1/2015,863.8465540909091,165.62,171.39,3.875238095238095
11/1/2015,1367.8439188995214,171.39,166.16,3.785768421052632
12/1/2015,117.5396958732058,166.16,163.95,3.880836363636364
1/1/2016,0.0,163.95,161.03,4.05558947368421
2/1/2016,0.0,161.03,159.68,3.964385
3/1/2016,0.0,159.68,159.14,3.6980217391304344
4/1/2016,0.0,159.14,164.41,3.5634476190476194
5/1/2016,0.0,164.41,168.96,3.5403047619047614
6/1/2016,0.0,168.96,179.87,3.4234454545454542
7/1/2016,0.0,179.87,161.76,3.27814
8/1/2016,0.0,161.76,150.15,3.2085521739130436
9/1/2016,76.35251226289596,150.15,148.43,3.2531809523809523
10/1/2016,1406.7310586846986,148.43,152.26,3.185395
11/1/2016,966.3121666130505,152.26,151.8,3.33689
12/1/2016,72.90426243935508,151.8,152.45,3.353966666666667
1/1/2017,0.0,152.45,159.99,3.190084210526316
2/1/2017,0.0,159.99,162.86,3.1057263157894734
3/1/2017,0.0,162.86,158.96,3.1275304347826087
4/1/2017,0.0,158.96,156.44,3.138995
5/1/2017,0.0,156.44,158.59,3.2042772727272726
6/1/2017,0.0,158.59,157.93,3.2953954545454542
7/1/2017,0.0,157.93,157.51,3.19941
8/1/2017,0.0,157.51,148.5,3.147791304347826
9/1/2017,20.46054296399656,148.5,147.29,3.132515
10/1/2017,1554.4121889091634,147.29,148.62,3.192266666666667
11/1/2017,1017.8614762748405,148.62,148.7,3.26293
12/1/2017,79.26579185199944,148.7,148.98,3.29496
1/1/2018,0.0,148.98,155.84,3.211523809523809
2/1/2018,0.0,155.84,163.36,3.2506526315789475
3/1/2018,0.0,163.36,172.0,3.2789681818181817
4/1/2018,0.0,172.0,175.6,3.4088857142857143
5/1/2018,0.0,175.6,179.09,3.6316
6/1/2018,0.0,179.09,165.07,3.771047619047619
7/1/2018,0.0,165.07,156.46,3.822095238095238
8/1/2018,0.0,156.46,162.37,3.9333217391304345
9/1/2018,103.80669155663881,162.37,154.8,4.108747368421053
10/1/2018,1571.1858742926784,154.8,160.26,3.761113636363637
11/1/2018,1115.9769999044424,160.26,160.69,3.78595
12/1/2018,21.030434246240475,160.69,167.44,3.883355555555556
1/1/2019,0.0,167.44,166.74,3.735565
2/1/2019,0.0,166.74,169.52,3.724433333333333
3/1/2019,0.0,169.52,170.79959271010298,3.73586320775015
4/1/2019,0.0,170.79959271010298,169.77749508851102,3.6957914372487797
5/1/2019,0.0,169.77749508851102,169.929585606075,3.72510284512667
6/1/2019,0.0,169.929585606075,168.576985187654,3.74957636594419
7/1/2019,0.0,168.576985187654,171.254936037046,3.73523662312877
8/1/2019,0.0,171.254936037046,163.019992693414,3.77093790800061
9/1/2019,0.0,163.019992693414,157.524338264814,3.83131351086432
10/1/2019,0.0,157.524338264814,159.0916792597,3.8273876875422994
11/1/2019,0.0,159.0916792597,160.296268169499,3.85857162691347
12/1/2019,0.0,160.296268169499,157.71875686535,3.8943019394206804
